,iso3c,country_name,year,time,time_unit,deaths
0,ALB,Albania,2015,12,monthly,22418.0
1,ALB,Albania,2016,12,monthly,21388.0
2,ALB,Albania,2017,12,monthly,22232.0
3,ALB,Albania,2018,12,monthly,21804.0
4,ALB,Albania,2019,12,monthly,21937.0
5,ALB,Albania,2020,12,monthly,27605.0
6,ALB,Albania,2021,12,monthly,30580.0
7,ALB,Albania,2022,6,monthly,12854.0
8,DZA,Algeria,2018,12,monthly,177136.40000000002
9,DZA,Algeria,2019,12,monthly,181442.9
10,DZA,Algeria,2020,12,monthly,235628.0
11,AND,Andorra,2015,12,monthly,282.0
12,AND,Andorra,2016,12,monthly,310.0
13,AND,Andorra,2017,12,monthly,323.0
14,AND,Andorra,2018,12,monthly,335.0
15,AND,Andorra,2019,12,monthly,301.0
16,AND,Andorra,2020,12,monthly,419.0
17,ATG,Antigua and Barbuda,2015,12,monthly,533.0
18,ATG,Antigua and Barbuda,2016,12,monthly,548.0
19,ATG,Antigua and Barbuda,2017,12,monthly,573.0
20,ATG,Antigua and Barbuda,2018,12,monthly,581.0
21,ATG,Antigua and Barbuda,2019,12,monthly,618.0
22,ATG,Antigua and Barbuda,2020,12,monthly,574.0
23,ATG,Antigua and Barbuda,2021,12,monthly,649.0
24,ARG,Argentina,2015,12,monthly,333440.0
25,ARG,Argentina,2016,12,monthly,352506.0
26,ARG,Argentina,2017,12,monthly,342341.0
27,ARG,Argentina,2018,12,monthly,337601.0
28,ARG,Argentina,2019,12,monthly,341055.0
29,ARG,Argentina,2020,12,monthly,376221.0
30,ARM,Armenia,2015,12,monthly,27844.0
31,ARM,Armenia,2016,12,monthly,28129.0
32,ARM,Armenia,2017,12,monthly,27367.0
33,ARM,Armenia,2018,12,monthly,25645.0
34,ARM,Armenia,2019,12,monthly,26252.0
35,ARM,Armenia,2020,12,monthly,35371.0
36,ARM,Armenia,2021,12,monthly,34638.0
37,ARM,Armenia,2022,9,monthly,20597.0
38,ABW,Aruba,2015,12,monthly,679.0
39,ABW,Aruba,2016,12,monthly,781.0
40,ABW,Aruba,2017,12,monthly,707.0
41,ABW,Aruba,2018,12,monthly,717.0
42,ABW,Aruba,2019,12,monthly,665.0
43,ABW,Aruba,2020,12,monthly,743.0
44,ABW,Aruba,2021,12,monthly,964.0
45,AUS,Australia,2015,53,weekly,159762.0
46,AUS,Australia,2016,52,weekly,157848.0
47,AUS,Australia,2017,52,weekly,163923.0
48,AUS,Australia,2018,52,weekly,159071.0
49,AUS,Australia,2019,52,weekly,164372.0
50,AUS,Australia,2020,53,weekly,164703.0
51,AUS,Australia,2021,52,weekly,170960.0
52,AUS,Australia,2022,30,weekly,110038.0
53,AUT,Austria,2015,53,weekly,82969.0
54,AUT,Austria,2016,52,weekly,78842.0
55,AUT,Austria,2017,52,weekly,81311.0
