,iso3c,country_name,year,time,time_unit,deaths
0,ALB,Albania,2016,12,monthly,21388.0
1,ALB,Albania,2017,12,monthly,22232.0
2,ALB,Albania,2018,12,monthly,21804.0
3,ALB,Albania,2019,12,monthly,21937.0
4,DZA,Algeria,2018,12,monthly,177136.40000000002
5,DZA,Algeria,2019,12,monthly,181442.9
6,AND,Andorra,2015,12,monthly,282.0
7,AND,Andorra,2016,12,monthly,310.0
8,AND,Andorra,2017,12,monthly,323.0
9,AND,Andorra,2018,12,monthly,335.0
10,AND,Andorra,2019,12,monthly,301.0
11,ATG,Antigua and Barbuda,2015,12,monthly,533.0
12,ATG,Antigua and Barbuda,2016,12,monthly,548.0
13,ATG,Antigua and Barbuda,2017,12,monthly,573.0
14,ATG,Antigua and Barbuda,2018,12,monthly,581.0
15,ATG,Antigua and Barbuda,2019,12,monthly,618.0
16,ARG,Argentina,2015,12,monthly,333440.0
17,ARG,Argentina,2016,12,monthly,352506.0
18,ARG,Argentina,2017,12,monthly,342341.0
19,ARG,Argentina,2018,12,monthly,337601.0
20,ARG,Argentina,2019,12,monthly,341055.0
21,ARM,Armenia,2015,12,monthly,27844.0
22,ARM,Armenia,2016,12,monthly,28129.0
23,ARM,Armenia,2017,12,monthly,27367.0
24,ARM,Armenia,2018,12,monthly,25645.0
25,ARM,Armenia,2019,12,monthly,26252.0
26,ABW,Aruba,2015,12,monthly,679.0
27,ABW,Aruba,2016,12,monthly,781.0
28,ABW,Aruba,2017,12,monthly,707.0
29,ABW,Aruba,2018,12,monthly,717.0
30,ABW,Aruba,2019,12,monthly,665.0
31,AUS,Australia,2015,53,weekly,159762.0
32,AUS,Australia,2016,52,weekly,157848.0
33,AUS,Australia,2017,52,weekly,163923.0
34,AUS,Australia,2018,52,weekly,159071.0
35,AUS,Australia,2019,52,weekly,164372.0
36,AUT,Austria,2015,53,weekly,82969.0
37,AUT,Austria,2016,52,weekly,78842.0
38,AUT,Austria,2017,52,weekly,81311.0
39,AUT,Austria,2018,52,weekly,82063.0
40,AUT,Austria,2019,52,weekly,81485.0
41,AZE,Azerbaijan,2015,12,monthly,54700.0
42,AZE,Azerbaijan,2016,12,monthly,56648.0
43,AZE,Azerbaijan,2017,12,monthly,57109.0
44,AZE,Azerbaijan,2018,12,monthly,57250.0
45,AZE,Azerbaijan,2019,12,monthly,56447.0
46,BHS,Bahamas,2015,12,monthly,2256.0
47,BHS,Bahamas,2016,12,monthly,2290.0
48,BHS,Bahamas,2017,12,monthly,2432.0
49,BHS,Bahamas,2018,12,monthly,2557.0
50,BHS,Bahamas,2019,12,monthly,2639.0
51,BRB,Barbados,2015,12,monthly,2570.0
52,BRB,Barbados,2016,12,monthly,2584.0
53,BRB,Barbados,2017,12,monthly,2632.0
54,BRB,Barbados,2018,12,monthly,2531.0
55,BRB,Barbados,2019,12,monthly,2896.0
56,BLR,Belarus,2015,12,monthly,120025.0
57,BLR,Belarus,2016,12,monthly,119369.0
58,BLR,Belarus,2017,12,monthly,119303.0
59,BLR,Belarus,2018,12,monthly,120047.0
60,BLR,Belarus,2019,12,monthly,120913.0
61,BEL,Belgium,2015,53,weekly,112409.0
62,BEL,Belgium,2016,52,weekly,107532.0
63,BEL,Belgium,2017,52,weekly,109278.0
64,BEL,Belgium,2018,52,weekly,110341.0
65,BEL,Belgium,2019,52,weekly,108436.0
66,BLZ,Belize,2015,12,monthly,1812.0
67,BLZ,Belize,2016,12,monthly,1829.0
68,BLZ,Belize,2017,12,monthly,1930.0
69,BLZ,Belize,2018,12,monthly,1915.0
70,BLZ,Belize,2019,12,monthly,1994.0
71,BMU,Bermuda,2015,12,monthly,478.0
72,BMU,Bermuda,2016,12,monthly,492.0
73,BMU,Bermuda,2017,12,monthly,481.0
74,BMU,Bermuda,2018,12,monthly,533.0
75,BMU,Bermuda,2019,12,monthly,535.0
76,BOL,Bolivia,2015,12,monthly,48935.0
77,BOL,Bolivia,2016,12,monthly,50767.0
78,BOL,Bolivia,2017,12,monthly,49794.0
79,BOL,Bolivia,2018,12,monthly,51570.0
80,BOL,Bolivia,2019,12,monthly,51998.0
81,BIH,Bosnia,2015,12,monthly,38150.0
82,BIH,Bosnia,2016,12,monthly,36571.0
83,BIH,Bosnia,2017,12,monthly,36336.0
84,BIH,Bosnia,2018,12,monthly,36305.0
85,BIH,Bosnia,2019,12,monthly,37130.0
86,BRA,Brazil,2015,12,monthly,1264175.0
87,BRA,Brazil,2016,12,monthly,1309774.0
88,BRA,Brazil,2017,12,monthly,1312663.0
