,iso3c,country_name,year,time,time_unit,deaths
0,ALB,Albania,2021,12,monthly,30580.0
1,ALB,Albania,2022,6,monthly,12854.0
2,DZA,Algeria,2020,12,monthly,235628.0
3,AND,Andorra,2020,12,monthly,419.0
4,ATG,Antigua and Barbuda,2020,12,monthly,574.0
5,ATG,Antigua and Barbuda,2021,12,monthly,649.0
6,ARG,Argentina,2020,12,monthly,376221.0
7,ARM,Armenia,2020,12,monthly,35371.0
8,ARM,Armenia,2021,12,monthly,34638.0
9,ARM,Armenia,2022,9,monthly,20597.0
10,ABW,Aruba,2020,12,monthly,743.0
11,ABW,Aruba,2021,12,monthly,964.0
12,AUS,Australia,2020,53,weekly,164703.0
13,AUS,Australia,2021,52,weekly,170960.0
14,AUS,Australia,2022,30,weekly,110038.0
15,AUT,Austria,2020,53,weekly,91196.0
16,AUT,Austria,2021,52,weekly,89538.0
17,AUT,Austria,2022,42,weekly,72108.0
18,AZE,Azerbaijan,2020,12,monthly,75647.0
19,AZE,Azerbaijan,2021,12,monthly,76878.0
20,AZE,Azerbaijan,2022,8,monthly,41758.0
21,BHS,Bahamas,2020,12,monthly,3016.0
22,BHS,Bahamas,2021,12,monthly,3649.0
23,BRB,Barbados,2020,12,monthly,2713.0
24,BRB,Barbados,2021,12,monthly,2895.0
25,BRB,Barbados,2022,8,monthly,2332.0
26,BLR,Belarus,2020,12,monthly,144536.0
27,BLR,Belarus,2021,3,monthly,39717.0
28,BEL,Belgium,2020,53,weekly,128432.0
29,BEL,Belgium,2021,52,weekly,111956.0
30,BEL,Belgium,2022,41,weekly,90055.0
31,BLZ,Belize,2020,12,monthly,2158.0
32,BLZ,Belize,2021,12,monthly,2489.0
33,BMU,Bermuda,2020,12,monthly,566.0
34,BMU,Bermuda,2021,12,monthly,727.0
35,BOL,Bolivia,2020,12,monthly,74863.0
36,BOL,Bolivia,2021,12,monthly,84301.0
37,BOL,Bolivia,2022,1,monthly,9779.0
38,BIH,Bosnia,2020,12,monthly,42803.0
39,BIH,Bosnia,2021,12,monthly,48503.0
40,BIH,Bosnia,2022,6,monthly,21651.0
41,BRA,Brazil,2020,12,monthly,1556824.0
42,BRA,Brazil,2021,12,monthly,1855622.0
43,BRA,Brazil,2022,9,monthly,1210652.7
44,BRN,Brunei,2020,12,monthly,1752.0
45,BGR,Bulgaria,2020,53,weekly,125914.0
46,BGR,Bulgaria,2021,52,weekly,148640.0
47,BGR,Bulgaria,2022,39,weekly,90053.0
48,CPV,Cabo Verde,2020,12,monthly,2959.0
49,CAN,Canada,2020,53,weekly,312305.0
50,CAN,Canada,2021,52,weekly,308490.0
51,CAN,Canada,2022,27,weekly,167490.0
52,CHL,Chile,2020,53,weekly,127458.0
53,CHL,Chile,2021,52,weekly,137085.0
54,CHL,Chile,2022,43,weekly,113978.0
55,COL,Colombia,2020,53,weekly,306243.0
56,COL,Colombia,2021,52,weekly,361223.0
57,COL,Colombia,2022,42,weekly,231782.0
58,CRI,Costa Rica,2020,12,monthly,26209.0
59,CRI,Costa Rica,2021,12,monthly,31081.0
60,HRV,Croatia,2020,53,weekly,57941.0
61,HRV,Croatia,2021,52,weekly,62642.0
62,HRV,Croatia,2022,39,weekly,43002.0
63,CUB,Cuba,2020,12,monthly,112449.0
64,CUB,Cuba,2021,12,monthly,167645.0
65,CYP,Cyprus,2020,53,weekly,6649.0
66,CYP,Cyprus,2021,52,weekly,7078.0
67,CYP,Cyprus,2022,40,weekly,5336.0
