,iso3c,country_name,year,time,time_unit,deaths
0,ALB,Albania,2022,6,monthly,21717
1,DZA,Algeria,2020,12,monthly,279062
2,AND,Andorra,2020,12,monthly,279481
3,ATG,Antigua and Barbuda,2021,12,monthly,140352
4,ARG,Argentina,2020,12,monthly,656925
5,ARM,Armenia,2022,9,monthly,249177
6,ABW,Aruba,2021,12,monthly,374619
7,AUS,Australia,2022,30,weekly,398313
8,AUT,Austria,2022,42,weekly,482594
9,AZE,Azerbaijan,2022,8,monthly,547355
10,BHS,Bahamas,2021,12,monthly,824364
11,BRB,Barbados,2022,8,monthly,552223
12,BLR,Belarus,2021,3,monthly,920461
13,BEL,Belgium,2022,41,weekly,723788
14,BLZ,Belize,2021,12,monthly,1088006
15,BMU,Bermuda,2021,12,monthly,1088652
16,BOL,Bolivia,2022,1,monthly,782083
17,BIH,Bosnia,2022,6,monthly,819735
18,BRA,Brazil,2022,9,monthly,2360768
19,BRN,Brunei,2020,12,monthly,7084056
20,BGR,Bulgaria,2022,39,weekly,2482888
21,CPV,Cabo Verde,2020,12,monthly,7451622
22,CAN,Canada,2022,27,weekly,2746636
23,CHL,Chile,2022,43,weekly,2872809
24,COL,Colombia,2022,42,weekly,3172559
25,CRI,Costa Rica,2021,12,monthly,4787483
26,HRV,Croatia,2022,39,weekly,3246184
27,CUB,Cuba,2021,12,monthly,5009322
28,CYP,Cyprus,2022,40,weekly,3345903
29,CZE,Czechia,2022,38,weekly,3464472
30,DNK,Denmark,2022,43,weekly,3518095
31,DOM,Dominican Republic,2021,10,monthly,5320524
32,ECU,Ecuador,2022,40,weekly,3644329
33,EGY,Egypt,2022,8,monthly,4248991
34,SLV,El Salvador,2020,8,monthly,12780825
35,EST,Estonia,2022,42,weekly,4276501
36,FRO,Faroe Islands,2022,9,monthly,4276894
37,FIN,Finland,2022,40,weekly,4330576
38,FRA,France,2022,41,weekly,4933313
39,GUF,French Guiana,2022,41,weekly,4934379
40,PYF,French Polynesia,2021,12,monthly,7403545
41,GEO,Georgia,2022,6,monthly,4981405
42,DEU,Germany,2022,42,weekly,5930661
43,GIB,Gibraltar,2021,1,monthly,8896171
44,GRC,Greece,2022,39,weekly,6058733
45,GRL,Greenland,2022,9,monthly,6059210
46,GLP,Guadeloupe,2022,41,weekly,6063012
47,GTM,Guatemala,2022,30,weekly,6153376
48,HKG,Hong Kong,2022,7,monthly,6200816
49,HUN,Hungary,2022,39,weekly,6333819
50,ISL,Iceland,2022,39,weekly,6336054
51,IRN,Iran,2022,40,weekly,6788387
52,IRL,Ireland,2022,9,monthly,6818990
53,ISR,Israel,2022,40,weekly,6865756
54,ITA,Italy,2022,35,weekly,7513901
55,JAM,Jamaica,2021,11,monthly,11291762
56,JPN,Japan,2022,8,monthly,8816929
57,JOR,Jordan,2021,12,monthly,13261597
58,KAZ,Kazakhstan,2022,9,monthly,8990276
59,KOS,Kosovo,2022,9,monthly,9001243
60,KWT,Kuwait,2021,12,monthly,13512618
61,KGZ,Kyrgyzstan,2022,8,monthly,9042418
62,LVA,Latvia,2022,42,weekly,9071737
63,LBN,Lebanon,2021,12,monthly,13640276
64,LIE,Liechtenstein,2022,5,monthly,9093756
65,LTU,Lithuania,2022,39,weekly,9134877
66,LUX,Luxembourg,2022,39,weekly,9139024
67,MAC,Macao,2022,9,monthly,9141145
68,MYS,Malaysia,2022,9,monthly,9321600
69,MDV,Maldives,2020,12,monthly,27966074
70,MLT,Malta,2022,42,weekly,9325914
71,MTQ,Martinique,2022,41,weekly,9329784
72,MUS,Mauritius,2022,6,monthly,9340068
73,MYT,Mayotte,2022,41,weekly,9340990
74,MEX,Mexico,2022,36,weekly,10259792
75,MDA,Moldova,2022,5,monthly,10294208
76,MCO,Monaco,2022,9,monthly,10294708
77,MNG,Mongolia,2022,9,monthly,10311110
78,MNE,Montenegro,2022,21,weekly,10317229
79,NLD,Netherlands,2022,43,weekly,10474922
80,NCL,New Caledonia,2021,12,monthly,15714145
81,NZL,New Zealand,2022,42,weekly,10509234
82,NIC,Nicaragua,2020,12,monthly,31561340
83,MKD,North Macedonia,2022,8,monthly,10543657
84,NOR,Norway,2022,43,weekly,10583602
85,OMN,Oman,2022,9,monthly,10593771
86,PSE,Palestine,2020,12,monthly,31795420
87,PAN,Panama,2021,10,monthly,15920778
88,PRY,Paraguay,2022,8,monthly,10653348
89,PER,Peru,2022,40,weekly,10867309
90,PHL,Philippines,2022,5,monthly,11456404
91,POL,Poland,2022,43,weekly,11913195
92,PRT,Portugal,2022,39,weekly,12027493
93,PRI,Puerto Rico,2022,40,weekly,12058295
94,QAT,Qatar,2022,9,monthly,12060767
95,REU,Réunion,2022,41,weekly,12066182
96,ROU,Romania,2022,38,weekly,12344563
97,RUS,Russia,2022,9,monthly,14355361
98,KNA,Saint Kitts and Nevis,2022,8,monthly,14355744
99,VCT,Saint Vincent and the Grenadines,2021,12,monthly,21534732
100,SMR,San Marino,2022,9,monthly,14356773
101,SRB,Serbia,2022,9,monthly,14469604
102,SYC,Seychelles,2021,12,monthly,21705202
103,SGP,Singapore,2022,9,monthly,14492270
104,SVK,Slovakia,2022,37,weekly,14550462
105,SVN,Slovenia,2022,41,weekly,14572043
106,ZAF,South Africa,2022,43,weekly,15160896
107,KOR,South Korea,2022,30,weekly,15442020
108,ESP,Spain,2022,39,weekly,15873911
109,SUR,Suriname,2020,12,monthly,47625703
110,SWE,Sweden,2022,40,weekly,15962687
111,CHE,Switzerland,2022,40,weekly,16030315
112,TWN,Taiwan,2022,10,monthly,16206553
113,TJK,Tajikistan,2020,12,monthly,48662284
114,THA,Thailand,2022,10,monthly,16740753
115,TRA,Transnistria,2022,3,monthly,16746861
116,TUN,Tunisia,2021,12,monthly,25206077
117,UKR,Ukraine,2022,1,monthly,17266833
118,GBR,United Kingdom,2022,42,weekly,17895404
119,USA,United States,2022,40,weekly,21031161
120,URY,Uruguay,2022,8,monthly,21064849
