,iso3c,country_name,year,time,time_unit,deaths
0,ALB,Albania,2021,12,monthly,8740.0
1,ALB,Albania,2022,6,monthly,-123
2,DZA,Algeria,2020,12,monthly,56092
3,AND,Andorra,2020,12,monthly,189983
4,ATG,Antigua and Barbuda,2020,12,monthly,-89495.0
5,ATG,Antigua and Barbuda,2021,12,monthly,50283
6,ARG,Argentina,2020,12,monthly,225468
7,ARM,Armenia,2020,12,monthly,-423134.0
8,ARM,Armenia,2021,12,monthly,-423867.0
9,ARM,Armenia,2022,9,monthly,-209328
10,ABW,Aruba,2020,12,monthly,-458472.0
11,ABW,Aruba,2021,12,monthly,-84596
12,AUS,Australia,2020,53,weekly,-455507.0
13,AUS,Australia,2021,52,weekly,-449250.0
14,AUS,Australia,2022,30,weekly,-221897
15,AUT,Austria,2020,53,weekly,-610348.0
16,AUT,Austria,2021,52,weekly,-612006.0
17,AUT,Austria,2022,42,weekly,-218950
18,AZE,Azerbaijan,2020,12,monthly,-682328.0
19,AZE,Azerbaijan,2021,12,monthly,-681097.0
20,AZE,Azerbaijan,2022,8,monthly,-210620
21,BHS,Bahamas,2020,12,monthly,-757393.0
22,BHS,Bahamas,2021,12,monthly,63955
23,BRB,Barbados,2020,12,monthly,-760339.0
24,BRB,Barbados,2021,12,monthly,-760157.0
25,BRB,Barbados,2022,8,monthly,-210829
26,BLR,Belarus,2020,12,monthly,-738447.0
27,BLR,Belarus,2021,3,monthly,37478
28,BEL,Belgium,2020,53,weekly,-864151.0
29,BEL,Belgium,2021,52,weekly,-880627.0
30,BEL,Belgium,2022,41,weekly,-268795
31,BLZ,Belize,2020,12,monthly,-992321.0
32,BLZ,Belize,2021,12,monthly,93527
33,BMU,Bermuda,2020,12,monthly,-994416.0
34,BMU,Bermuda,2021,12,monthly,93670
35,BOL,Bolivia,2020,12,monthly,-970732.0
36,BOL,Bolivia,2021,12,monthly,-961294.0
37,BOL,Bolivia,2022,1,monthly,-263512
38,BIH,Bosnia,2020,12,monthly,-1039691.0
39,BIH,Bosnia,2021,12,monthly,-1033991.0
40,BIH,Bosnia,2022,6,monthly,-262759
41,BRA,Brazil,2020,12,monthly,-836296.0
42,BRA,Brazil,2021,12,monthly,-537498.0
43,BRA,Brazil,2022,9,monthly,-32352
44,BRN,Brunei,2020,12,monthly,4689287
45,BGR,Bulgaria,2020,53,weekly,-2377753.0
46,BGR,Bulgaria,2021,52,weekly,-2355027.0
47,BGR,Bulgaria,2022,39,weekly,-20779
48,CPV,Cabo Verde,2020,12,monthly,4945264
49,CAN,Canada,2020,53,weekly,-2470475.0
50,CAN,Canada,2021,52,weekly,-2474290.0
51,CAN,Canada,2022,27,weekly,-36144
52,CHL,Chile,2020,53,weekly,-3457323.0
53,CHL,Chile,2021,52,weekly,-3447696.0
54,CHL,Chile,2022,43,weekly,-711972
55,COL,Colombia,2020,53,weekly,-2790118.0
56,COL,Colombia,2021,52,weekly,-2735138.0
57,COL,Colombia,2022,42,weekly,76198
58,CRI,Costa Rica,2020,12,monthly,-3093139.0
59,CRI,Costa Rica,2021,12,monthly,1668135
60,HRV,Croatia,2020,53,weekly,-3114175.0
61,HRV,Croatia,2021,52,weekly,-3109474.0
62,HRV,Croatia,2022,39,weekly,74068
63,CUB,Cuba,2020,12,monthly,-3163929.0
64,CUB,Cuba,2021,12,monthly,1732944
65,CYP,Cyprus,2020,53,weekly,-3275620.0
66,CYP,Cyprus,2021,52,weekly,-3275191.0
67,CYP,Cyprus,2022,40,weekly,63634
68,CZE,Czechia,2020,53,weekly,-3261988.0
69,CZE,Czechia,2021,52,weekly,-3254317.0
70,CZE,Czechia,2022,38,weekly,70990
71,DNK,Denmark,2020,53,weekly,-3391604.0
72,DNK,Denmark,2021,52,weekly,-3390043.0
73,DNK,Denmark,2022,43,weekly,71013
74,DOM,Dominican Republic,2020,12,monthly,-3444427.0
75,DOM,Dominican Republic,2021,10,monthly,1830236
76,ECU,Ecuador,2020,53,weekly,-3442919.0
77,ECU,Ecuador,2021,52,weekly,-3455470.0
78,ECU,Ecuador,2022,40,weekly,83999
79,EGY,Egypt,2020,12,monthly,-3455645.0
80,EGY,Egypt,2021,12,monthly,-3389759.0
81,EGY,Egypt,2022,8,monthly,127146
82,SLV,El Salvador,2020,8,monthly,8616758
83,EST,Estonia,2020,53,weekly,-4163467.0
84,EST,Estonia,2021,52,weekly,-4160803.0
85,EST,Estonia,2022,42,weekly,96977
86,FRO,Faroe Islands,2020,12,monthly,-4179560.0
87,FRO,Faroe Islands,2021,12,monthly,-4179498.0
88,FRO,Faroe Islands,2022,9,monthly,96968
89,FIN,Finland,2020,53,weekly,-4177445.0
90,FIN,Finland,2021,52,weekly,-4176102.0
