country;RAAUC;RegularDeaths;2020Deaths;2021Deaths;2022Deaths;EXD2020;EXD2021;EXD2022;population;RDBP;IRDPP2020;IRDPP2021;IRDPP2022;EDPP2020;EDPP2021;EDPP2022
Albania;12.0;21955.800000000003;27605.0;30580.0;25708.0;5649.199999999997;8624.199999999997;3752.199999999997;2854710.0;0.007691078953729101;0.00966998399136865;0.010712121371347702;0.00900546815613495;0.001978905037639549;0.0030210424176186014;0.0013143892024058475
Algeria;12.0;179289.65;235628.0;649.0;27462.666666666668;56338.350000000006;-178640.65;-151826.98333333334;44177969.0;0.004058349762525298;0.005333608704374798;1.469058027543095e-05;0.0006216371482959452;0.0012752589418495;-0.004043659182249868;-0.0034367126142293533
Andorra;12.0;310.20000000000005;419.0;34638.0;190732.53333333333;108.79999999999995;34327.8;190422.3333333333;79034.0;0.003924893083989169;0.005301515803325151;0.43826707492977707;2.4132972307277036;0.0013766227193359815;0.43434218184578793;2.409372337643714
Antigua and Barbuda;12.0;570.5999999999999;574.0;964.0;89276.57142857143;3.400000000000091;393.4000000000001;88705.97142857143;93220.0;0.0061210040763784584;0.006157476936279768;0.010341128513194594;0.9576976124069023;3.647285990130971e-05;0.004220124436816135;0.9515766083305238
Argentina;12.0;341388.6;376221.0;170960.0;62637.0;34832.40000000002;-170428.59999999998;-278751.6;45276780.0;0.0075400370786085046;0.008309358571877241;0.003775886889482865;0.001383424351289999;0.0007693214932687356;-0.0037641501891256396;-0.0061566127273185054
Armenia;12.0;27047.399999999998;35371.0;89538.0;3498.0;8323.600000000002;62490.600000000006;-23549.399999999998;2790974.0;0.009691025426965639;0.012673353460118225;0.032081273419243606;0.0012533258998471501;0.0029823280331525846;0.022390247992277967;-0.00843769952711849
Aruba;12.0;709.8;743.0;76878.0;114216.09756097561;33.200000000000045;76168.2;113506.29756097561;106536.0;0.0066625366073439956;0.0069741683562363896;0.7216152286551025;1.072089223933465;0.0003116317488923936;0.7149526920477585;1.065426687326121
Australia;52.0;160378.3601532567;161595.39622641512;3649.0;117348.0;1217.0360731584078;-156729.3601532567;-43030.36015325671;25921089.0;0.006187176786949681;0.006234128366536419;0.00014077340654939304;0.00452712461270435;4.695157958673757e-05;-0.006046403380400287;-0.0016600521742453302
Austria;52.0;81022.37547892719;89475.32075471699;2895.0;43302.0;8452.945275789796;-78127.37547892719;-37720.37547892719;8922082.0;0.00908110634703057;0.010028524816821566;0.0003244758342279302;0.004853351493519113;0.0009474184697909968;-0.008756630512802639;-0.004227754853511455
Azerbaijan;12.0;56430.8;75647.0;158868.0;1614203.6;19216.199999999997;102437.2;1557772.8;10312992.0;0.005471816520365768;0.007335116714916486;0.015404646876483566;0.1565213664472929;0.0018633001945507178;0.009932830356117797;0.15104954992692712
Bahamas;12.0;2434.8;3016.0;111956.0;120070.66666666667;581.1999999999998;109521.2;117635.86666666667;407906.0;0.005969022274739769;0.007393860350178718;0.2744651954126686;0.2943586676015226;0.0014248380754389488;0.26849617313792884;0.2883896453267828
Barbados;12.0;2642.6;2713.0;2489.0;322573.3333333333;70.40000000000009;-153.5999999999999;319930.73333333334;281200.0;0.009397581792318635;0.009647937411095306;0.008851351351351351;1.1471313418681839;0.00025035561877667173;-0.0005462304409672827;1.1377337600758655
Belarus;12.0;119931.4;144536.0;727.0;137833.86046511628;24604.600000000006;-119204.4;17902.46046511628;9578168.0;0.012521329757423339;0.015090150851394547;7.590177996460284e-05;0.014390420011960144;0.002568821093971207;-0.012445427977458737;0.001869090254536805
Belgium;52.0;109179.27969348658;126008.75471698114;84301.0;286968.1904761905;16829.475023494568;-24878.279693486576;177788.9107827039;11611420.0;0.009402750024845074;0.010852139937835436;0.007260180064109299;0.024714306301571252;0.0014493899129903636;-0.0021425699607357735;0.015311556276726179
Belize;12.0;1896.0;2158.0;48503.0;57335.99999999999;262.0;46607.0;55439.99999999999;400031.0;0.004739632678467419;0.005394581919901208;0.12124810327199642;0.14332889201086915;0.0006549492414337889;0.116508470593529;0.1385892593324017
Bermuda;12.0;503.8;566.0;1855622.0;6936.8;62.19999999999999;1855118.2;6433.0;64185.0;0.007849185946872322;0.008818259718002649;28.910524265794187;0.10807509542728053;0.0009690737711303262;28.902675079847317;0.1002259094804082
Bolivia;12.0;50612.8;74863.0;148640.0;116384.21052631579;24250.199999999997;98027.2;65771.41052631578;12079472.0;0.004189984462897054;0.006197539097735398;0.012305173603614463;0.009634875640782626;0.0020075546348383437;0.008115189140717408;0.005444891177885572
Bosnia;12.0;36898.4;42803.0;308490.0;58472.18604651162;5904.5999999999985;271591.6;21573.786046511617;0.0;inf;inf;inf;inf;inf;inf;inf
Brazil;12.0;1310626.4;1556824.0;137085.0;90567.09999999999;246197.6000000001;-1173541.4;-1220059.2999999998;214326223.0;0.006115100530652284;0.007263805512030135;0.0006396090878716227;0.000422566584397841;0.0011487049813778507;-0.005475491442780662;-0.005692533946254443
Brunei;12.0;1648.8000000000002;1752.0;361223.0;623550.0;103.19999999999982;359574.2;621901.2;445373.0;0.0037020654597382423;0.003933781347320112;0.811057248643272;1.4000624195898719;0.00023171588758186918;0.8073551831835338;1.3963603541301335
Bulgaria;52.0;108480.56704980842;123538.2641509434;31081.0;17209.52380952381;15057.697101134981;-77399.56704980842;-91271.0432402846;6885868.0;0.01575408750934645;0.01794084117658709;0.0045137374111731444;0.0024992526446228434;0.0021867536672406417;-0.011240350098173306;-0.013254834864723605
Cabo Verde;12.0;2691.2000000000003;2959.0;62642.0;514.6666666666666;267.7999999999997;59950.8;-2176.5333333333338;0.0;inf;inf;inf;inf;inf;inf;-inf
Canada;52.0;275362.91187739465;306412.4528301887;167645.0;61395.1;31049.54095279402;-107717.91187739465;-213967.81187739465;38155012.0;0.007216952569098776;0.00803072615545734;0.004393787112424444;0.0016090965978466996;0.0008137735863585633;-0.0028231654566743328;-0.005607855971252077
Chile;52.0;106306.5;125053.1320754717;7078.0;636819.9024390244;18746.6320754717;-99228.5;530513.4024390244;19493184.0;0.005453521600165473;0.006415223499427887;0.0003631012768360469;0.03266884991384806;0.000961701899262414;-0.005090420323329427;0.027215328313682587
Colombia;52.0;227659.98467432952;300464.8301886793;139165.0;1126.2439024390244;72804.84551434976;-88494.98467432952;-226533.7407718905;51516562.0;0.004419161058813077;0.005832392895098071;0.002701364271940352;2.186178305996088e-05;0.0014132318362849942;-0.001717796786872725;-0.004397299275753116
Costa Rica;12.0;22987.800000000003;26209.0;57039.0;53362.0;3221.199999999997;34051.2;30374.199999999997;5153957.0;0.0044602234748951156;0.005085218988051317;0.011067030632968029;0.010353598215895089;0.0006249955131562016;0.006606807158072913;0.005893374740999973
Croatia;52.0;52565.02681992337;56847.77358490566;49082.399999999994;1024258.8571428572;4282.746764982294;-3482.6268199233746;971693.8303229338;4060135.0;0.012946620449793755;0.014001449110659045;0.012088859114290534;0.2522721183268185;0.0010548286608652899;-0.0008577613355032221;0.23932549787702473
Cuba;12.0;104262.59999999999;112449.0;104860.0;143072.0;8186.400000000009;597.4000000000087;38809.40000000001;11256372.0;0.009262540363804608;0.009989808439166723;0.009315612525954189;0.012710311990399749;0.0007272680753621156;5.307216214958148e-05;0.0034477716265951417
Cyprus;52.0;5868.628352490421;6523.547169811321;732086.0;508.0;654.9188173208995;726217.3716475096;-5360.628352490421;896007.0;0.0065497572591401865;0.007280687728791539;0.8170538846236692;0.0005669598563404081;0.0007309304696513526;0.8105041273645291;-0.0059827974027997785
Czechia;52.0;110786.2988505747;129012.98113207548;18721.0;4020.4878048780483;18226.682281500776;-92065.2988505747;-106765.81104569665;10510750.0;0.010540284837007322;0.0122743839528174;0.0017811288442784769;0.00038251198105540026;0.001734099115810078;-0.008759155992728845;-0.010157772855951921
Denmark;52.0;53394.63601532567;54431.24528301887;428.0;96172.26666666666;1036.6092676932021;-52966.63601532567;42777.630651340995;5854240.0;0.00912067766530338;0.009297747492931425;7.310940446582306e-05;0.01642779706104749;0.0001770698276280443;-0.009047568260837559;0.007307119395744109
Dominican Republic;12.0;43206.0;45861.0;57580.0;69084.0;2655.0;14374.0;25878.0;11117874.0;0.0038861746409430435;0.004124979290105284;0.005179047720814249;0.006213777921930038;0.0002388046491622409;0.0012928730798712055;0.0023276032809869947
Ecuador;52.0;69773.44061302682;115195.69811320756;641768.0;134322.66666666666;45422.25750018074;571994.5593869732;64549.22605363984;17797737.0;0.003920354627839866;0.006472491312418402;0.0360589663730844;0.007547176737506946;0.002552136684578536;0.03213861174524453;0.0036268221096670797
Egypt;12.0;561515.0;666200.0;1353.0;2705.3333333333335;104685.0;-560162.0;-558809.6666666666;109262178.0;0.005139152543710048;0.006097260847207348;1.2383059030728822e-05;2.4760016529538094e-05;0.0009581083034972998;-0.005126769484679319;-0.005114392527180509
El Salvador;12.0;42222.200000000004;50778.0;2274.0;421808.39999999997;8555.799999999996;-39948.200000000004;379586.19999999995;6314167.0;0.0066868994754177395;0.008041915901179046;0.00036014251761158677;0.06680349126020899;0.0013550164257613072;-0.006326756957806153;0.06011659178479124
Estonia;52.0;15398.176245210727;15754.037735849055;59906.0;33966.66666666667;355.8614906383282;44507.82375478927;18568.490421455943;1328701.0;0.011588894902021392;0.011856721516615895;0.04508614052371451;0.025563815084557528;0.0002678266145945011;0.03349724562169312;0.013974920182536134
Faroe Islands;12.0;402.2;366.0;1019035.0;52153.4;-36.19999999999999;1018632.8;51751.200000000004;0.0;inf;inf;inf;inf;-inf;inf;inf
Finland;52.0;53549.24137931034;55175.92452830189;1068.0;715164.9142857143;1626.6831489915494;-52481.24137931034;661615.6729064039;5535992.0;0.009672926077080736;0.009966763775724728;0.00019291935392970222;0.12918460039062815;0.0002938376986439918;-0.009480006723151035;0.1195116743135474
France;52.0;588850.1915708813;651800.3773584905;143586.0;1545645.0;62950.185787609196;-445264.1915708813;956794.8084291187;67422000.0;0.008733798931667428;0.009667473189144352;0.0021296609415324373;0.022924935481000268;0.0009336742574769244;-0.00660413799013499;0.01419113654933284
French Guiana;52.0;890.3754789272032;939.9245283018869;531.0;135554.6666666667;49.549049374683705;-359.3754789272032;134664.2911877395;0.0;inf;inf;inf;inf;inf;-inf;inf
French Polynesia;12.0;1518.0;1679.0;4517.0;9192.0;161.0;2999.0;7674.0;304032.0;0.0049928954846858225;0.005522445005788864;0.014856988738027576;0.03023365961477739;0.0005295495211030418;0.009864093253341753;0.02524076413009157
Georgia;12.0;48179.399999999994;50537.0;118160.99999999999;34269.0;2357.600000000006;69981.59999999999;-13910.399999999994;3757980.0;0.01282055785288905;0.013447916167728407;0.03144268995577411;0.009118994779110054;0.0006273583148393567;0.018622132102885058;-0.0037015630737789965
Germany;52.0;929511.9540229884;982552.7547169811;51354.0;29926.0;53040.80069399264;-878157.9540229884;-899585.9540229884;83408554.0;0.011144084262904119;0.011779999863287177;0.0006156922466249684;0.00035878814060246144;0.0006359156003830571;-0.010528392016279151;-0.010785296122301658
Gibraltar;12.0;276.0;270.0;155032.0;304.79999999999995;-6.0;154756.0;28.799999999999955;32670.0;0.00844811753902663;0.008264462809917356;4.745393327211509;0.009329660238751146;-0.00018365472910927456;4.7369452096724824;0.0008815426997245165
Greece;52.0;121532.36781609195;130457.20754716982;2333.0;42106.666666666664;8924.839731077867;-119199.36781609195;-79425.7011494253;10445365.0;0.01163505227592257;0.012489482899560696;0.00022335265450273878;0.004031134064407195;0.0008544306236381272;-0.011411699621419831;-0.007603918211515375
Greenland;12.0;498.59999999999997;519.0;529736.8;4406.666666666666;20.400000000000034;529238.2000000001;3908.066666666666;56243.0;0.008865103212844264;0.00922781501697989;9.418715217893784;0.07835049102406817;0.00036271180413562635;9.409850114680939;0.0694853878112239
Guadeloupe;52.0;3151.478927203065;3649.8113207547167;34354.0;2418.6666666666665;498.3323935516519;31202.521072796935;-732.8122605363983;0.0;inf;inf;inf;inf;inf;inf;-inf
Guatemala;52.0;82164.38314176245;95608.37735849057;50633.0;200385.3333333333;13443.994216728126;-31531.383141762446;118220.95019157087;17608483.0;0.004666181813717993;0.005429677125422478;0.0028754890469553794;0.011380045250538238;0.000763495311704485;-0.0017906927667626137;0.006713863436820245
Hong Kong;12.0;47239.8;50666.0;706212.0;4198.380952380952;3426.199999999997;658972.2;-43041.41904761905;7494578.0;0.006303196791066822;0.006760353951883615;0.09422972180688492;0.0005601891063620863;0.00045715716081679274;0.0879265250158181;-0.005743007684704736
Hungary;52.0;129791.60153256706;140533.43396226416;24919.63636363636;4262.7317073170725;10741.832429697097;-104871.9651689307;-125528.86982524999;9709786.0;0.013367091873349944;0.014473381180827688;0.0025664454771337246;0.00043901397078340064;0.0011062893074777443;-0.01080064639621622;-0.012928077902566544
Iceland;52.0;2242.375478927203;2299.7735849056603;1452289.0;13038.0;57.39810597845735;1450046.6245210727;10795.624521072798;370335.0;0.006054992044843731;0.006209981732500737;3.9215548084842102;0.03520596216938718;0.0001549896876570061;3.9154998164393664;0.029150970124543447
Iran;52.0;367181.32413793105;501265.9698113207;39333.0;928.3902439024391;134084.64567338966;-327848.32413793105;-366252.9338940286;87923432.0;0.004176148676019961;0.005701164734007662;0.0004473551487389619;1.0559076491718831e-05;0.0015250160579877007;-0.003728793527280999;-0.004165589599528242
Ireland;12.0;30724.4;31981.0;183357.0;836726.2222222222;1256.5999999999985;152632.6;806001.8222222222;4986526.0;0.006161483966994256;0.0064134830541342815;0.03677048911406458;0.16779742494518674;0.00025199908714002467;0.030609005147070326;0.16163594097819248
Israel;52.0;44506.819923371644;48611.16981132076;13019.0;41155.2;4104.349887949116;-31487.819923371644;-3351.619923371647;9291000.0;0.004790315350701932;0.005232070800917098;0.001401248520073189;0.004429577010009686;0.00044175545021516696;-0.003389066830628742;-0.00036073834069224486
Italy;52.0;643619.1417624521;742581.5849056605;10938.0;512.0;98962.4431432084;-632681.1417624521;-643107.1417624521;59240330.0;0.010864543491949692;0.01253506833783101;0.00018463772906059098;8.642760767875533e-06;0.0016705248458813175;-0.0106799057628891;-0.010855900731181816
Jamaica;12.0;18304.600000000002;18978.0;39193.0;17804.0;673.3999999999978;20888.399999999998;-500.6000000000022;2827694.0;0.006473331272761481;0.006711475852762003;0.013860410638492;0.006296296558255596;0.00023814458000052263;0.00738707936573052;-0.00017703471450588438
Japan;12.0;1337896.0;1384544.0;34471.0;8040.190476190476;46648.0;-1303425.0;-1329855.8095238095;124612530.0;0.010736448413333715;0.011110792791062023;0.0002766254725748687;6.452152505201906e-05;0.0003743443777283071;-0.010459822940758846;-0.010671926888281696
Jordan;12.0;27525.0;33073.0;36950.0;159369.11627906977;5548.0;9425.0;131844.11627906977;11148278.0;0.0024689911751393356;0.0029666465080974837;0.0033144132214858652;0.014295402059319813;0.0004976553329581483;0.0008454220463465299;0.011826410884180478
Kazakhstan;12.0;131461.6;162613.0;268.0;38908.38095238095;31151.399999999994;-131193.6;-92553.21904761906;19196465.0;0.0068482191903561414;0.008470986715522884;1.3960903739308253e-05;0.002026851347494497;0.0016227675251667426;-0.006834258286616833;-0.004821367842861644
Kosovo;12.0;8769.2;12987.0;47463.0;23560.5;4217.799999999999;38693.8;14791.3;1782115.0;0.00492067010265892;0.0072874085005737565;0.026632961396991776;0.01322052729481543;0.0023667383979148367;0.02171229129433286;0.00829985719215651
Kuwait;12.0;6722.199999999999;10569.0;4467.0;44429.767441860466;3846.800000000001;-2255.199999999999;37707.56744186047;4250114.0;0.0015816516921663747;0.0024867568258169076;0.0010510306311783636;0.010453782520153686;0.0009051051336505329;-0.0005306210609880109;0.008872130827987313
Kyrgyzstan;12.0;33546.0;39977.0;2320.0;9693.333333333334;6431.0;-31226.0;-23852.666666666664;6527743.0;0.005138989080912039;0.0061241687976992965;0.0003554061488021204;0.0014849440814893194;0.000985179716787257;-0.004783582932109919;-0.00365404499942272
Latvia;52.0;28380.643678160923;28762.867924528306;224569.0;42048.0;382.2242463673829;196188.3563218391;13667.356321839077;1873919.0;0.015145074935555338;0.015349045462759225;0.11983922464097968;0.022438536564280527;0.00020397052720388814;0.10469414970542434;0.007293461628725189
Lebanon;12.0;25156.800000000003;28392.0;4132.0;175626.23;3235.199999999997;-21024.800000000003;150469.43;5592631.0;0.004498204869944039;0.005076680367433503;0.0007388293631387445;0.03140314996644692;0.0005784754974894637;-0.003759375506805295;0.026904945096502878
Liechtenstein;12.0;261.8;319.0;4613.0;657405.6000000001;57.19999999999999;4351.2;657143.8;39039.0;0.006706114398422091;0.008171315863623557;0.11816388739465662;16.839714132021825;0.001465201465201465;0.11145777299623454;16.833008017623403
