country;RAAUC;population;RegularDeaths;2020Deaths;2021Deaths;2022Deaths;EXD2020;EXD2021;EXD2022;RDBP;IDPP2020;IDPP2021;IDPP2022;EDPP2020;EDPP2021;EDPP2022;X;Y
Albania;12.0;2854710.0;21955.800000000003;27605.0;30580.0;25708.0;5649.199999999997;8624.199999999997;3752.199999999997;7691.078953729101;9669.98399136865;10712.121371347703;9005.46815613495;1978.905037639549;3021.0424176186016;1314.3892024058475;20382.105362716353;0.00315459999654429
Algeria;12.0;44177969.0;179289.65;235628.0;649.0;27462.666666666668;56338.350000000006;-178640.65;-151826.98333333334;4058.349762525298;5333.608704374798;14.69058027543095;621.6371482959452;1275.2589418495;-4043.6591822498676;-3436.712614229353;5348.299284650229;1.4071202510372198e-05
Andorra;12.0;79034.0;310.20000000000005;419.0;34638.0;190732.53333333333;108.79999999999995;34327.8;190422.3333333333;3924.8930839891696;5301.515803325151;438267.07492977707;2413297.230727704;1376.6227193359814;434342.1818457879;2409372.337643714;443568.59073310223;30.53492459862469
Antigua and Barbuda;12.0;93220.0;570.5999999999999;574.0;964.0;89276.57142857143;3.400000000000091;393.4000000000001;88705.97142857143;6121.004076378458;6157.476936279769;10341.128513194595;957697.6124069024;36.47285990130971;4220.124436816135;951576.6083305238;16498.60544947436;10.273520836804359
Argentina;12.0;45276780.0;341388.6;376221.0;170960.0;62637.0;34832.40000000002;-170428.59999999998;-278751.6;7540.037078608505;8309.358571877241;3775.886889482865;1383.4243512899989;769.3214932687356;-3764.1501891256394;-6156.612727318506;12085.245461360106;3.055483078279857e-05
Armenia;12.0;2790974.0;27047.399999999998;35371.0;89538.0;3498.0;8323.600000000002;62490.600000000006;-23549.399999999998;9691.02542696564;12673.353460118225;32081.273419243607;1253.3258998471501;2982.328033152585;22390.247992277968;-8437.69952711849;44754.62687936182;0.00044906398262654906
Aruba;12.0;106536.0;709.8;743.0;76878.0;114216.09756097561;33.200000000000045;76168.2;113506.29756097561;6662.5366073439955;6974.16835623639;721615.2286551025;1072089.2239334648;311.6317488923936;714952.6920477585;1065426.687326121;728589.3970113388;10.063163850092597
Australia;52.0;25921089.0;160378.3601532567;161595.39622641512;3649.0;117348.0;1217.0360731584078;-156729.3601532567;-43030.36015325671;6187.176786949681;6234.128366536419;140.77340654939303;4527.1246127043505;46.95157958673757;-6046.4033804002875;-1660.0521742453302;6374.901773085811;0.00017465024763058183
Austria;52.0;8922082.0;81022.37547892719;89475.32075471699;2895.0;43302.0;8452.945275789796;-78127.37547892719;-37720.37547892719;9081.106347030569;10028.524816821566;324.4758342279302;4853.351493519113;947.4184697909968;-8756.630512802638;-4227.754853511456;10353.000651049497;0.0005439707339070761
Azerbaijan;12.0;10312992.0;56430.8;75647.0;158868.0;1614203.6;19216.199999999997;102437.2;1557772.8;5471.816520365768;7335.116714916487;15404.646876483566;156521.36644729288;1863.3001945507178;9932.830356117796;151049.5499269271;22739.76359140005;0.015177105387776203
