,id,malignant,nucleus_mean,nucleus_se,nucleus_worst,texture_mean,texture_se,texture_worst,perimeter_mean,perimeter_se,perimeter_worst,area_mean,area_se,area_worst,smoothness_mean,smoothness_se,smoothness_worst,compactness_mean,compactness_se,compactness_worst,concavity_mean,concavity_se,concavity_worst,concave_pts_mean,concave_pts_se,concave_pts_worst,symmetry_mean,symmetry_se,symmetry_worst,fractal_dim_mean,fractal_dim_se,fractal_dim_worst
id,1.0,-0.06526788444875088,0.029641371548801334,0.08234781084395859,0.029287434357934464,0.028957702331211015,-0.04977311516212425,-0.0010273612345587516,0.0012566041946420804,-0.002451268759071027,0.00022289782750788755,-0.05858559131814558,-0.011542234419258076,0.01994194458707468,0.001033566151118412,0.0028036776104516515,0.012488783022409253,0.0254548043787713,0.018669721441694348,0.010641953942600015,-0.019547523145041715,-0.013924646042953908,0.019043611510337302,0.05121127058066457,0.01970699493888061,0.017681260825200724,-0.05481921519647167,-0.007513538667823988,-0.007539601825034494,-0.006401684710642748,-0.04692418043136414,-0.060670200908512224
malignant,-0.06526788444875088,1.0,0.5990815474936287,0.37764402157378224,0.6117753557371114,0.5999922065196066,0.30403287850577393,0.497970934520187,0.5994491686848045,0.6358731860594524,0.27192415121740166,-0.02117312092141836,0.5041971073642237,0.015872025573569565,0.5152426232761508,0.5837215691954606,-0.0426558007767452,0.3111147735525951,0.3844857254783089,0.39954573320988196,-0.07545066303504673,0.16467393251197854,0.6441948263941853,0.3896541593126852,0.6508786774474363,0.6431165458424388,0.34795230947517913,0.49595750794542576,0.5769068709182953,0.6390903923366004,0.3243801716559886,0.2545705110197949
nucleus_mean,0.029641371548801334,0.5990815474936287,1.0,0.2291593784456431,0.9633202777091125,0.9855648991935299,0.09954913667867968,0.3400200751959346,0.46508733412790526,0.5669168497729085,0.08150194570358216,-0.24622043968646926,0.3847123212206526,-0.09586140546702411,0.39899946788422,0.5490794792246148,-0.22606489623966344,0.18115290095426356,0.2559450096317161,0.2867423691142813,-0.16840671434971338,-0.00583213151835832,0.8820629394078087,0.2103021083310968,0.8627633308670782,0.882035231418031,0.08228359958704096,0.3329701070870867,0.42109956734365406,0.5325694478310553,0.11414081846793973,0.02410324937763231
nucleus_se,0.08234781084395859,0.37764402157378224,0.2291593784456431,1.0,0.23435270496778152,0.23082876244167036,0.017134877617027103,0.1842202235648159,0.2360786887682124,0.20962913200385327,0.07549261783144258,-0.0392547784798346,0.24709808571841527,0.30929392726394916,0.26414160317392915,0.2706594723432954,0.024483782898072664,0.18053500966378777,0.19781975350011632,0.1625702102963406,0.007114308810482022,0.09966292299051478,0.24699256159444263,0.7412926906699542,0.25440587138215637,0.248096382503423,0.0693363100786513,0.19977650898650587,0.23524203161152388,0.21774256271883208,0.08148152757012987,0.07828934895996689
nucleus_worst,0.029287434357934464,0.6117753557371114,0.9633202777091125,0.23435270496778152,1.0,0.9569652550813528,0.12243356705130991,0.37554006755874536,0.49758701426480245,0.5967162829921118,0.10178098889926163,-0.21466135571766887,0.39371609205487357,-0.09117020750463486,0.41424561232042467,0.5571268071865544,-0.21516464552188547,0.2115619713293116,0.2836800432988767,0.31085629640184664,-0.15885594085235571,0.021156357807769192,0.8869405139711831,0.21603184341261034,0.8812445063428807,0.8852459042890298,0.10242802421624346,0.36502630775658435,0.44954867325542497,0.5598192173637424,0.13028257335481877,0.05310315164477883
texture_mean,0.028957702331211015,0.5999922065196066,0.9855648991935299,0.23082876244167036,0.9569652550813528,1.0,0.09254105992450662,0.3335344926442078,0.4618432477517967,0.5617596456794245,0.07696285744114141,-0.2521310138954066,0.38710116671308764,-0.09417932782977943,0.40095072461704145,0.5523093878592009,-0.22665787796709072,0.1773775260730975,0.25404028979851173,0.28328020426813405,-0.16985938635361725,-0.00873313795901472,0.8838111228471448,0.21205134083761532,0.8634088850119981,0.8859056250289308,0.07779340831645129,0.3282567724629687,0.41882234396942375,0.5283754074184087,0.11203209156589904,0.020264540768931354
texture_se,-0.04977311516212425,0.30403287850577393,0.09954913667867968,0.017134877617027103,0.12243356705130991,0.09254105992450662,1.0,0.4910721118448688,0.36410531234128757,0.39851132801527916,0.3815145663601175,0.4170704498865422,0.22356092411948947,0.06180575488204281,0.2207431656987476,0.1964144807759369,0.23012346260088498,0.27421797585577856,0.24702443684212988,0.30547943088183177,0.10104525395325445,0.2861671380445824,0.13621865363256977,0.041361461641259194,0.1523429794012161,0.1288814795487631,0.608474819310243,0.3358140685140748,0.300847143881595,0.34919514287243336,0.27060197061082,0.357792300386212
texture_worst,-0.0010273612345587516,0.497970934520187,0.3400200751959346,0.1842202235648159,0.37554006755874536,0.3335344926442078,0.4910721118448688,1.0,0.7191937222081604,0.6530223226308496,0.39236622218190415,0.3459234961292285,0.3510013090979342,0.03227443801369757,0.4092919327425303,0.37248269202955014,0.08499207769774222,0.6192178307867293,0.570662684129177,0.537137786695126,0.06625066620928706,0.43720561769312677,0.3720458152536985,0.17444861986918697,0.41262767059053496,0.3639801569187288,0.4122742122897591,0.72484185268382,0.6479415715580625,0.6330904492346651,0.3129907819793834,0.49823132367789036
perimeter_mean,0.0012566041946420804,0.5994491686848045,0.46508733412790526,0.2360786887682124,0.49758701426480245,0.4618432477517967,0.36410531234128757,0.7191937222081604,1.0,0.7752655581905907,0.31135362958441626,0.17347640117476434,0.4053834957411752,0.03534557781191596,0.45962595281579827,0.4600802421821596,0.048788038690192326,0.559087741675354,0.6783780353305552,0.5815173330667214,0.01524406291680308,0.3513986271017201,0.49291374658341836,0.22779716170264697,0.5317504338030046,0.4882811177157148,0.33890181075963255,0.6540701105678935,0.7878697812697398,0.7340474055398336,0.26348996103909167,0.3774554488446292
perimeter_se,-0.002451268759071027,0.6358731860594524,0.5669168497729085,0.20962913200385327,0.5967162829921118,0.5617596456794245,0.39851132801527916,0.6530223226308496,0.7752655581905907,1.0,0.2919696364880258,0.09488488452221709,0.4541039561125687,0.005237676641481676,0.4906781804477223,0.5323894282932424,0.012046701384965894,0.42716217572182946,0.4971826278011402,0.5689559651786463,-0.019819451681705364,0.2543318308768286,0.5903998782648757,0.2005089195660053,0.6207280870639719,0.5831685232036191,0.33990618081254104,0.5573027658744317,0.6357275542283145,0.7839329302204044,0.24044727506820884,0.2850280023883474
